BusinessEntityID,TotalPurchaseYTD,DateFirstPurchase,BirthDate,AgeGroup,MaritalStatus,YearlyIncome,IncomeGroup,Gender,TotalChildren,ParentalStatus,NumberChildrenAtHome,Education,Occupation,EducationSegment,HomeOwnerFlag,NumberCarsOwned,OwnsAcar
1744,-4.99,2004-04-28 00:00:00.000,1951-06-23 00:00:00.000,66+,M,50001-75000,Medium Income,M,2,TRUE,1,High School,Professional,Least Educated,1,2,TRUE
1745,649.49,2001-09-30 00:00:00.000,1963-08-15 00:00:00.000,56-65,S,50001-75000,Medium Income,F,0,FALSE,0,"Bachelors ",Professional,Educated,1,1,TRUE
1746,-1627.595,2003-04-28 00:00:00.000,1948-01-12 00:00:00.000,66+,M,0-25000,Least Income,M,2,TRUE,1,Partial High School,Clerical,Least Educated,0,2,TRUE
1747,-3.99,2004-01-15 00:00:00.000,1957-11-21 00:00:00.000,66+,M,greater than 100000,Highest Income,F,2,TRUE,4,Partial College,Professional,Least Educated,1,3,TRUE
1748,32.69,2004-06-20 00:00:00.000,1956-01-24 00:00:00.000,66+,M,greater than 100000,Highest Income,M,3,TRUE,3,Partial College,Professional,Least Educated,1,4,TRUE
1749,-3.99,2003-08-11 00:00:00.000,1954-12-10 00:00:00.000,66+,S,75001-100000,High Income,M,3,TRUE,4,High School,Professional,Least Educated,0,3,TRUE
1750,1674.98,2003-06-07 00:00:00.000,1974-09-03 00:00:00.000,46-55,S,75001-100000,High Income,M,0,FALSE,5,High School,Management,Least Educated,1,2,TRUE
1751,1085.50,2004-04-20 00:00:00.000,1972-03-18 00:00:00.000,46-55,S,25001-50000,Low Income,F,0,FALSE,0,High School,Manual,Least Educated,1,1,TRUE
1752,-30.00,2004-03-26 00:00:00.000,1951-04-12 00:00:00.000,66+,M,greater than 100000,Highest Income,M,4,TRUE,5,High School,Professional,Least Educated,0,3,TRUE
1753,-9.51,2004-04-20 00:00:00.000,1964-08-25 00:00:00.000,56-65,M,50001-75000,Medium Income,M,3,TRUE,3,"Bachelors ",Professional,Educated,0,2,TRUE
1754,544.98,2003-10-04 00:00:00.000,1968-06-13 00:00:00.000,56-65,S,25001-50000,Low Income,F,1,TRUE,0,"Bachelors ",Clerical,Educated,1,0,FALSE
1755,421.3936,2002-06-28 00:00:00.000,1953-03-23 00:00:00.000,66+,M,25001-50000,Low Income,F,2,TRUE,0,Partial College,Skilled Manual,Least Educated,1,2,TRUE
1756,2389.0618,2002-08-26 00:00:00.000,1971-08-26 00:00:00.000,46-55,M,50001-75000,Medium Income,F,1,TRUE,1,Graduate Degree,Skilled Manual,"Highly Educated ",1,0,FALSE
1757,-2071.4192,2003-01-08 00:00:00.000,1935-02-27 00:00:00.000,66+,M,25001-50000,Low Income,M,3,TRUE,0,Partial College,Professional,Least Educated,1,2,TRUE
1758,543.99,2003-12-28 00:00:00.000,1963-08-05 00:00:00.000,56-65,M,25001-50000,Low Income,M,1,TRUE,0,"Bachelors ",Skilled Manual,Educated,1,0,FALSE
1759,733.36,2003-12-16 00:00:00.000,1970-02-03 00:00:00.000,46-55,M,25001-50000,Low Income,F,0,FALSE,0,"Bachelors ",Clerical,Educated,1,0,FALSE
1760,2.70,2003-08-06 00:00:00.000,1957-06-06 00:00:00.000,66+,M,0-25000,Least Income,M,2,TRUE,1,Partial High School,Clerical,Least Educated,1,2,TRUE
1761,-17.50,2004-02-29 00:00:00.000,1975-12-19 00:00:00.000,46-55,S,25001-50000,Low Income,F,0,FALSE,0,High School,Skilled Manual,Least Educated,1,2,TRUE
1762,-24.51,2004-01-21 00:00:00.000,1942-11-02 00:00:00.000,66+,S,0-25000,Least Income,F,3,TRUE,0,Partial College,Manual,Least Educated,0,1,TRUE
1763,-1120.49,2004-02-28 00:00:00.000,1956-06-08 00:00:00.000,66+,S,greater than 100000,Highest Income,F,2,TRUE,4,High School,Professional,Least Educated,0,2,TRUE
1764,-4.99,2004-06-15 00:00:00.000,1944-12-10 00:00:00.000,66+,M,50001-75000,Medium Income,F,5,TRUE,1,High School,Professional,Least Educated,0,2,TRUE
1765,2447.35,2003-12-01 00:00:00.000,1953-07-26 00:00:00.000,66+,M,greater than 100000,Highest Income,M,2,TRUE,5,"Bachelors ",Management,Educated,1,2,TRUE
1766,52.03,2004-05-26 00:00:00.000,1973-08-02 00:00:00.000,46-55,M,75001-100000,High Income,M,0,FALSE,0,"Bachelors ",Professional,Educated,1,3,TRUE
1767,563.18,2004-06-02 00:00:00.000,1976-05-14 00:00:00.000,46-55,S,25001-50000,Low Income,F,0,FALSE,0,Partial College,Clerical,Least Educated,1,1,TRUE
1768,-2071.4192,2002-09-04 00:00:00.000,1972-04-06 00:00:00.000,46-55,S,25001-50000,Low Income,F,0,FALSE,0,High School,Manual,Least Educated,1,1,TRUE
1769,-3578.27,2001-10-17 00:00:00.000,1954-05-03 00:00:00.000,66+,M,25001-50000,Low Income,F,1,TRUE,0,High School,Clerical,Least Educated,1,1,TRUE
1770,743.39,2001-11-24 00:00:00.000,1966-05-03 00:00:00.000,56-65,S,75001-100000,High Income,M,3,TRUE,3,"Bachelors ",Skilled Manual,Educated,0,1,TRUE
1771,-30.00,2004-06-14 00:00:00.000,1957-06-06 00:00:00.000,66+,S,greater than 100000,Highest Income,M,2,TRUE,4,Partial College,Professional,Least Educated,1,3,TRUE
1772,-53.99,2003-12-03 00:00:00.000,1949-07-10 00:00:00.000,66+,M,25001-50000,Low Income,M,4,TRUE,0,High School,Professional,Least Educated,0,2,TRUE
1773,2344.06,2003-12-29 00:00:00.000,1976-05-11 00:00:00.000,46-55,M,0-25000,Least Income,F,4,TRUE,4,High School,Manual,Least Educated,1,1,TRUE
1774,1666.0025,2002-11-27 00:00:00.000,1971-03-15 00:00:00.000,46-55,S,0-25000,Least Income,M,0,FALSE,0,Partial High School,Manual,Least Educated,0,2,TRUE
1775,-28.53,2004-05-16 00:00:00.000,1961-06-17 00:00:00.000,56-65,M,0-25000,Least Income,M,1,TRUE,0,Graduate Degree,Clerical,"Highly Educated ",1,0,FALSE
1776,1651.0025,2003-06-04 00:00:00.000,1942-08-06 00:00:00.000,66+,S,0-25000,Least Income,F,3,TRUE,0,Partial College,Manual,Least Educated,1,1,TRUE
1777,-28.01,2003-08-14 00:00:00.000,1944-08-18 00:00:00.000,66+,M,75001-100000,High Income,M,5,TRUE,0,"Bachelors ",Management,Educated,0,2,TRUE
1778,-98.02,2003-10-23 00:00:00.000,1959-07-09 00:00:00.000,56-65,M,75001-100000,High Income,F,2,TRUE,0,"Bachelors ",Professional,Educated,1,1,TRUE
1779,-5.01,2004-02-06 00:00:00.000,1951-04-10 00:00:00.000,66+,M,greater than 100000,Highest Income,F,4,TRUE,5,Partial College,Professional,Least Educated,0,3,TRUE
1780,2273.01,2003-06-21 00:00:00.000,1949-09-07 00:00:00.000,66+,M,greater than 100000,Highest Income,M,0,FALSE,5,High School,Management,Least Educated,0,4,TRUE
1781,-69.99,2004-06-23 00:00:00.000,1964-01-13 00:00:00.000,56-65,M,50001-75000,Medium Income,F,4,TRUE,4,"Bachelors ",Skilled Manual,Educated,1,3,TRUE
1782,-1700.9875,2003-04-13 00:00:00.000,1956-11-07 00:00:00.000,66+,S,0-25000,Least Income,M,1,TRUE,0,"Bachelors ",Clerical,Educated,1,0,FALSE
1783,-30.00,2004-07-14 00:00:00.000,1951-10-11 00:00:00.000,66+,M,0-25000,Least Income,M,3,TRUE,0,High School,Manual,Least Educated,0,2,TRUE
1784,2414.84,2002-03-24 00:00:00.000,1973-02-02 00:00:00.000,46-55,M,75001-100000,High Income,M,0,FALSE,5,High School,Management,Least Educated,1,2,TRUE
2380,0.50,2004-07-29 00:00:00.000,1973-03-16 00:00:00.000,46-55,S,0-25000,Least Income,M,0,FALSE,0,Partial High School,Manual,Least Educated,1,2,TRUE
2381,1666.00,2004-05-21 00:00:00.000,1962-03-27 00:00:00.000,56-65,M,25001-50000,Low Income,M,1,TRUE,0,"Bachelors ",Skilled Manual,Educated,1,1,TRUE
2382,5.00,2004-03-14 00:00:00.000,1951-02-03 00:00:00.000,66+,S,50001-75000,Medium Income,M,2,TRUE,1,Partial College,Professional,Least Educated,1,2,TRUE
2383,-28.99,2004-02-06 00:00:00.000,1966-08-08 00:00:00.000,56-65,M,0-25000,Least Income,F,5,TRUE,5,Partial High School,Manual,Least Educated,1,0,FALSE
2384,5840.5304,2003-02-22 00:00:00.000,1945-05-21 00:00:00.000,66+,S,75001-100000,High Income,F,5,TRUE,0,Partial College,Professional,Least Educated,0,2,TRUE
2385,1666.00,2004-03-18 00:00:00.000,1972-12-04 00:00:00.000,46-55,M,25001-50000,Low Income,F,1,TRUE,1,"Bachelors ",Skilled Manual,Educated,1,1,TRUE
2386,-69.99,2004-06-14 00:00:00.000,1965-03-11 00:00:00.000,56-65,M,75001-100000,High Income,F,5,TRUE,5,"Bachelors ",Professional,Educated,1,4,TRUE
2387,-3399.99,2001-11-13 00:00:00.000,1941-06-06 00:00:00.000,66+,S,25001-50000,Low Income,F,1,TRUE,0,"Bachelors ",Clerical,Educated,1,0,FALSE
2388,918.00,2003-02-21 00:00:00.000,1978-08-26 00:00:00.000,46-55,S,25001-50000,Low Income,F,4,TRUE,4,Partial College,Clerical,Least Educated,1,3,TRUE
2389,1085.50,2003-10-06 00:00:00.000,1967-10-05 00:00:00.000,56-65,S,25001-50000,Low Income,F,5,TRUE,5,High School,Skilled Manual,Least Educated,1,3,TRUE
2390,1321.525,2002-12-19 00:00:00.000,1947-11-06 00:00:00.000,66+,M,greater than 100000,Highest Income,F,4,TRUE,5,Partial High School,Professional,Least Educated,0,3,TRUE
2391,36.59,2002-05-22 00:00:00.000,1973-10-21 00:00:00.000,46-55,S,greater than 100000,Highest Income,F,0,FALSE,5,Partial College,Management,Least Educated,1,3,TRUE
2392,931.98,2003-05-03 00:00:00.000,1963-07-24 00:00:00.000,56-65,M,25001-50000,Low Income,M,1,TRUE,0,"Bachelors ",Skilled Manual,Educated,1,0,FALSE
2393,4701.77,2002-01-16 00:00:00.000,1972-01-19 00:00:00.000,46-55,M,greater than 100000,Highest Income,F,0,FALSE,5,High School,Management,Least Educated,1,4,TRUE
2394,2607.6408,2002-08-21 00:00:00.000,1973-02-01 00:00:00.000,46-55,S,greater than 100000,Highest Income,F,5,TRUE,5,Partial High School,Professional,Least Educated,1,4,TRUE
2395,-2294.9896,2003-06-14 00:00:00.000,1975-07-20 00:00:00.000,46-55,S,0-25000,Least Income,F,0,FALSE,0,Partial High School,Manual,Least Educated,1,2,TRUE
2396,50.99,2003-09-21 00:00:00.000,1975-06-11 00:00:00.000,46-55,S,50001-75000,Medium Income,F,0,FALSE,0,"Bachelors ",Professional,Educated,0,3,TRUE
2397,-3.99,2003-11-07 00:00:00.000,1978-08-28 00:00:00.000,46-55,S,25001-50000,Low Income,F,0,FALSE,0,Partial High School,Clerical,Least Educated,1,2,TRUE
2398,2352.6975,2002-08-18 00:00:00.000,1966-11-03 00:00:00.000,56-65,M,25001-50000,Low Income,F,0,FALSE,0,"Bachelors ",Professional,Educated,1,0,FALSE
2399,707.36,2001-12-28 00:00:00.000,1972-09-17 00:00:00.000,46-55,S,50001-75000,Medium Income,F,0,FALSE,0,Partial College,Skilled Manual,Least Educated,1,2,TRUE
2400,19.20,2004-01-06 00:00:00.000,1961-10-16 00:00:00.000,56-65,M,0-25000,Least Income,F,1,TRUE,0,Graduate Degree,Clerical,"Highly Educated ",1,0,FALSE
2401,12.99,2004-06-15 00:00:00.000,1939-11-03 00:00:00.000,66+,M,25001-50000,Low Income,F,2,TRUE,0,"Bachelors ",Management,Educated,1,2,TRUE
2402,1149.76,2002-04-27 00:00:00.000,1963-08-13 00:00:00.000,56-65,M,25001-50000,Low Income,F,1,TRUE,0,"Bachelors ",Skilled Manual,Educated,1,0,FALSE
2403,1066.50,2003-06-20 00:00:00.000,1941-05-26 00:00:00.000,66+,M,25001-50000,Low Income,F,2,TRUE,0,"Bachelors ",Management,Educated,1,2,TRUE
2404,-2181.565,2002-08-13 00:00:00.000,1975-11-19 00:00:00.000,46-55,M,75001-100000,High Income,M,0,FALSE,0,"Bachelors ",Professional,Educated,0,3,TRUE
2405,-4.00,2004-07-06 00:00:00.000,1951-04-12 00:00:00.000,66+,M,50001-75000,Medium Income,F,2,TRUE,1,Partial College,Professional,Least Educated,1,2,TRUE
2406,-98.02,2003-12-14 00:00:00.000,1938-06-15 00:00:00.000,66+,M,greater than 100000,Highest Income,F,2,TRUE,4,Graduate Degree,Management,"Highly Educated ",1,3,TRUE
2407,-31.00,2004-06-22 00:00:00.000,1980-03-08 00:00:00.000,36-45,M,0-25000,Least Income,F,0,FALSE,0,Partial High School,Manual,Least Educated,1,2,TRUE
2408,1.60,2003-10-20 00:00:00.000,1965-07-26 00:00:00.000,56-65,M,25001-50000,Low Income,F,4,TRUE,4,"Bachelors ",Skilled Manual,Educated,1,1,TRUE
2409,-2799.79,2001-08-21 00:00:00.000,1963-07-17 00:00:00.000,56-65,S,50001-75000,Medium Income,F,0,FALSE,0,"Bachelors ",Professional,Educated,0,2,TRUE
2410,738.35,2002-01-28 00:00:00.000,1957-04-28 00:00:00.000,66+,M,50001-75000,Medium Income,F,3,TRUE,2,Partial College,Professional,Least Educated,1,0,FALSE
2411,19.20,2004-07-05 00:00:00.000,1977-07-10 00:00:00.000,46-55,S,25001-50000,Low Income,F,0,FALSE,0,Partial College,Clerical,Least Educated,1,1,TRUE
2412,-30.00,2003-09-01 00:00:00.000,1968-09-25 00:00:00.000,56-65,S,75001-100000,High Income,F,4,TRUE,4,Partial College,Skilled Manual,Least Educated,0,2,TRUE
2413,-30.00,2004-03-19 00:00:00.000,1945-08-15 00:00:00.000,66+,S,greater than 100000,Highest Income,F,3,TRUE,4,Graduate Degree,Management,"Highly Educated ",0,4,TRUE
2414,3048.81,2004-02-22 00:00:00.000,1952-01-13 00:00:00.000,66+,M,50001-75000,Medium Income,F,5,TRUE,2,Partial College,Professional,Least Educated,1,2,TRUE
2415,61.00,2003-10-29 00:00:00.000,1969-06-11 00:00:00.000,46-55,S,0-25000,Least Income,F,2,TRUE,2,High School,Manual,Least Educated,0,0,FALSE
2416,-4.00,2004-04-28 00:00:00.000,1971-09-04 00:00:00.000,46-55,S,25001-50000,Low Income,M,2,TRUE,2,Partial College,Clerical,Least Educated,1,1,TRUE
2417,-4.99,2004-04-02 00:00:00.000,1973-01-24 00:00:00.000,46-55,M,75001-100000,High Income,F,0,FALSE,0,"Bachelors ",Professional,Educated,0,3,TRUE
2418,-30.00,2004-07-29 00:00:00.000,1968-06-04 00:00:00.000,56-65,S,50001-75000,Medium Income,F,2,TRUE,2,"Bachelors ",Skilled Manual,Educated,0,1,TRUE
2419,2349.08,2003-12-20 00:00:00.000,1941-08-22 00:00:00.000,66+,S,25001-50000,Low Income,F,4,TRUE,0,"Bachelors ",Management,Educated,0,2,TRUE
2420,1450.8404,2003-02-17 00:00:00.000,1942-02-27 00:00:00.000,66+,S,50001-75000,Medium Income,F,2,TRUE,0,Graduate Degree,Management,"Highly Educated ",1,1,TRUE
2421,45.50,2003-11-03 00:00:00.000,1957-08-15 00:00:00.000,66+,M,50001-75000,Medium Income,F,1,TRUE,0,Partial College,Skilled Manual,Least Educated,1,1,TRUE
2422,749.4775,2003-04-13 00:00:00.000,1968-09-02 00:00:00.000,56-65,M,25001-50000,Low Income,F,0,FALSE,0,"Bachelors ",Clerical,Educated,0,0,FALSE
2423,13.98,2003-10-20 00:00:00.000,1964-01-05 00:00:00.000,56-65,M,25001-50000,Low Income,F,1,TRUE,0,"Bachelors ",Skilled Manual,Educated,1,0,FALSE
2424,19.20,2004-05-05 00:00:00.000,1941-12-22 00:00:00.000,66+,S,0-25000,Least Income,F,1,TRUE,0,Partial College,Manual,Least Educated,0,0,FALSE
2425,-69.99,2003-11-20 00:00:00.000,1946-07-11 00:00:00.000,66+,M,50001-75000,Medium Income,F,4,TRUE,0,"Bachelors ",Management,Educated,1,2,TRUE
2426,1105.1375,2003-05-17 00:00:00.000,1966-02-15 00:00:00.000,56-65,M,25001-50000,Low Income,F,0,FALSE,0,"Bachelors ",Professional,Educated,1,0,FALSE
2427,543.99,2004-01-20 00:00:00.000,1968-09-26 00:00:00.000,56-65,M,0-25000,Least Income,M,1,TRUE,1,Partial College,Manual,Least Educated,0,0,FALSE
2428,-11.01,2004-06-17 00:00:00.000,1953-07-15 00:00:00.000,66+,M,0-25000,Least Income,F,2,TRUE,1,High School,Manual,Least Educated,1,2,TRUE
2429,-421.98,2002-02-09 00:00:00.000,1959-09-14 00:00:00.000,56-65,M,25001-50000,Low Income,F,3,TRUE,0,Graduate Degree,Clerical,"Highly Educated ",1,0,FALSE
2430,-4.99,2004-04-12 00:00:00.000,1948-05-21 00:00:00.000,66+,M,0-25000,Least Income,F,4,TRUE,0,High School,Skilled Manual,Least Educated,0,2,TRUE
2431,30.01,2004-04-12 00:00:00.000,1971-02-24 00:00:00.000,46-55,S,25001-50000,Low Income,F,0,FALSE,0,High School,Manual,Least Educated,0,1,TRUE
2432,-1120.49,2003-08-29 00:00:00.000,1967-07-04 00:00:00.000,56-65,S,50001-75000,Medium Income,F,0,FALSE,0,Graduate Degree,Professional,"Highly Educated ",1,1,TRUE
2433,-0.01,2004-05-16 00:00:00.000,1966-04-19 00:00:00.000,56-65,S,greater than 100000,Highest Income,F,0,FALSE,0,Graduate Degree,Management,"Highly Educated ",0,3,TRUE
2434,-1258.28,2001-09-30 00:00:00.000,1975-06-11 00:00:00.000,46-55,M,25001-50000,Low Income,F,1,TRUE,1,"Bachelors ",Skilled Manual,Educated,1,0,FALSE
2435,-25.00,2004-01-17 00:00:00.000,1975-03-23 00:00:00.000,46-55,S,0-25000,Least Income,F,0,FALSE,0,High School,Manual,Least Educated,0,1,TRUE
2436,9263.6618,2003-03-14 00:00:00.000,1957-10-11 00:00:00.000,66+,S,75001-100000,High Income,F,2,TRUE,3,Partial College,Professional,Least Educated,1,4,TRUE
2437,1147.18,2003-05-12 00:00:00.000,1962-10-11 00:00:00.000,56-65,M,25001-50000,Low Income,F,1,TRUE,0,Partial College,Clerical,Least Educated,1,1,TRUE
2438,1551.99,2003-01-15 00:00:00.000,1971-08-25 00:00:00.000,46-55,S,50001-75000,Medium Income,F,2,TRUE,0,Graduate Degree,Professional,"Highly Educated ",1,0,FALSE
2439,-28.99,2003-12-19 00:00:00.000,1953-09-07 00:00:00.000,66+,S,75001-100000,High Income,F,3,TRUE,4,"Bachelors ",Management,Educated,0,3,TRUE
2440,10.48,2003-08-19 00:00:00.000,1979-12-26 00:00:00.000,36-45,M,25001-50000,Low Income,F,3,TRUE,3,Partial College,Clerical,Least Educated,1,2,TRUE
2441,-49.99,2004-04-03 00:00:00.000,1961-09-27 00:00:00.000,56-65,M,25001-50000,Low Income,F,4,TRUE,0,Graduate Degree,Clerical,"Highly Educated ",1,0,FALSE
2442,-435.445,2002-09-03 00:00:00.000,1952-03-01 00:00:00.000,66+,M,0-25000,Least Income,F,2,TRUE,0,Partial College,Manual,Least Educated,1,1,TRUE
2443,1066.50,2001-12-05 00:00:00.000,1952-02-22 00:00:00.000,66+,S,25001-50000,Low Income,F,3,TRUE,0,High School,Skilled Manual,Least Educated,1,2,TRUE
